state,total_votes
Delaware,490935
Georgia,4952440
Idaho,858826
Illinois,5938579
Iowa,1670616
Kansas,1330054
Kentucky,2134667
Louisiana,2071543
Maine,762452
Massachusetts,3408865
Michigan,5479708
Minnesota,3216382
Mississippi,1309889
Montana,605637
Nebraska,903863
New Hampshire,795603
New Jersey,4442114
New Mexico,917237
North Carolina,5474961
Oklahoma,1556361
Oregon,2334641
Rhode Island,493429
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11148837
Virginia,4400699
West Virginia,778918
Wyoming,270866
Alabama,2303212
Alaska,353877
Arizona,3354722
Arkansas,1193208
Colorado,3235455
Georgia,4914395
